game_id,player_x_id,player_o_id,move_id,pre_state,move,post_state
1,2,8,1,---------,7,-------x-
1,2,8,2,-------x-,0,o------x-
1,2,8,3,o------x-,6,o-----xx-
1,2,8,4,o-----xx-,1,oo----xx-
1,2,8,5,oo----xx-,2,oox---xx-
1,2,8,6,oox---xx-,3,ooxo--xx-
1,2,8,7,ooxo--xx-,4,ooxox-xx-
2,2,8,1,---------,0,x--------
2,2,8,2,x--------,1,xo-------
2,2,8,3,xo-------,3,xo-x-----
2,2,8,4,xo-x-----,2,xoox-----
2,2,8,5,xoox-----,4,xooxx----
2,2,8,6,xooxx----,5,xooxxo---
2,2,8,7,xooxxo---,6,xooxxox--
3,2,8,1,---------,3,---x-----
3,2,8,2,---x-----,0,o--x-----
3,2,8,3,o--x-----,1,ox-x-----
3,2,8,4,ox-x-----,2,oxox-----
3,2,8,5,oxox-----,4,oxoxx----
3,2,8,6,oxoxx----,5,oxoxxo---
3,2,8,7,oxoxxo---,7,oxoxxo-x-
4,2,8,1,---------,6,------x--
4,2,8,2,------x--,0,o-----x--
4,2,8,3,o-----x--,2,o-x---x--
4,2,8,4,o-x---x--,1,oox---x--
4,2,8,5,oox---x--,4,oox-x-x--
5,2,8,1,---------,2,--x------
5,2,8,2,--x------,0,o-x------
5,2,8,3,o-x------,5,o-x--x---
5,2,8,4,o-x--x---,1,oox--x---
5,2,8,5,oox--x---,3,ooxx-x---
5,2,8,6,ooxx-x---,4,ooxxox---
5,2,8,7,ooxxox---,8,ooxxox--x
6,2,9,1,---------,6,------x--
6,2,9,2,------x--,3,---o--x--
6,2,9,3,---o--x--,4,---ox-x--
6,2,9,4,---ox-x--,0,o--ox-x--
6,2,9,5,o--ox-x--,1,ox-ox-x--
6,2,9,6,ox-ox-x--,2,oxoox-x--
6,2,9,7,oxoox-x--,7,oxoox-xx-
7,2,9,1,---------,2,--x------
7,2,9,2,--x------,1,-ox------
7,2,9,3,-ox------,4,-ox-x----
7,2,9,4,-ox-x----,0,oox-x----
7,2,9,5,oox-x----,3,ooxxx----
7,2,9,6,ooxxx----,5,ooxxxo---
7,2,9,7,ooxxxo---,6,ooxxxox--
8,2,9,1,---------,7,-------x-
8,2,9,2,-------x-,4,----o--x-
8,2,9,3,----o--x-,0,x---o--x-
8,2,9,4,x---o--x-,1,xo--o--x-
8,2,9,5,xo--o--x-,6,xo--o-xx-
8,2,9,6,xo--o-xx-,2,xoo-o-xx-
8,2,9,7,xoo-o-xx-,3,xooxo-xx-
9,2,9,1,---------,6,------x--
9,2,9,2,------x--,3,---o--x--
9,2,9,3,---o--x--,4,---ox-x--
9,2,9,4,---ox-x--,0,o--ox-x--
9,2,9,5,o--ox-x--,1,ox-ox-x--
9,2,9,6,ox-ox-x--,2,oxoox-x--
9,2,9,7,oxoox-x--,7,oxoox-xx-
10,2,9,1,---------,4,----x----
10,2,9,2,----x----,0,o---x----
10,2,9,3,o---x----,1,ox--x----
10,2,9,4,ox--x----,7,ox--x--o-
10,2,9,5,ox--x--o-,3,ox-xx--o-
10,2,9,6,ox-xx--o-,5,ox-xxo-o-
10,2,9,7,ox-xxo-o-,2,oxxxxo-o-
10,2,9,8,oxxxxo-o-,6,oxxxxooo-
10,2,9,9,oxxxxooo-,8,oxxxxooox
11,2,7,1,---------,7,-------x-
11,2,7,2,-------x-,0,o------x-
11,2,7,3,o------x-,6,o-----xx-
11,2,7,4,o-----xx-,3,o--o--xx-
11,2,7,5,o--o--xx-,1,ox-o--xx-
